userName Labels,Major Labels,Department Labels,program labels,researchExp,industryExp,internExp,journalPubs,Term Label,confPubs,University Labels,admit,normalized_cgpa,normalized_topper_cgpa,greTotal
128,28,28,1,0,0,0,0,1,0,54,0,0.5611,0.73,301
144,28,28,1,0,0,0,0,1,0,54,0,0.891,0.903,314
423,20,20,1,0,0,0,0,1,0,54,0,0.54,0.7,139
833,20,20,1,0,0,0,0,1,0,54,0,0.643,0.7665,318
890,27,27,1,0,0,0,0,1,0,54,0,0.562,0.78,299
1118,39,52,1,0,9,2,0,1,0,54,0,0.68,0.68,295
1524,20,20,1,0,0,0,0,1,0,54,0,0.6573,0.6573,302
1861,20,52,1,0,0,0,0,1,0,54,0,0.623,0.776,302
1974,20,20,1,0,0,0,0,1,0,54,0,0.74,0.84,295
2157,20,20,1,0,0,6,0,1,0,54,0,0.63,0.913,328
2201,20,20,1,0,0,0,0,1,0,54,0,0.58,0.72,299
2954,20,20,1,0,21,6,0,1,0,54,0,0.0818,0.0818,315
3089,20,28,1,0,0,0,0,1,0,54,0,0.58,0.58,293
3393,20,20,1,0,0,0,0,1,0,54,0,0.597,0.75,314
3493,27,27,1,0,0,0,0,1,0,54,0,0.61,0.85,294
3611,15,27,3,0,0,0,0,1,0,54,0,0.72,0.84,315
4081,52,28,1,0,0,1,1,1,1,54,0,0.851,0.916,317
4116,28,27,1,0,0,0,0,1,0,54,0,0.6882,0.86,297
4436,20,27,1,0,23,0,0,1,0,54,0,0.83,0.96,316
4507,20,20,1,0,0,0,0,1,0,54,0,0.56,0.74,295
4651,20,20,1,0,0,0,0,1,0,54,0,,,300
4940,20,20,1,0,0,0,0,1,0,54,0,0.6,0.72,296
5004,20,20,1,0,0,0,0,1,0,54,0,0.57,0.7,307
5808,52,52,1,0,0,0,0,1,0,54,0,0.623,0.95,321
5870,20,27,1,0,0,0,0,1,0,54,0,0.65,0.79,305
6009,27,27,1,0,0,0,0,1,0,54,0,0.65,0.82,304
7221,20,20,1,0,0,0,0,1,0,54,0,0.69,0.73,306
7371,52,27,1,0,24,3,0,1,0,54,0,0.69,0.75,312
7403,20,20,1,0,0,0,0,1,0,54,0,0.66,0.73,313
7681,28,28,1,0,0,0,0,1,0,54,0,0.6345,0.75,307
7739,28,28,1,0,0,0,0,1,0,54,0,0.5885,0.5885,310
8090,20,20,1,0,0,0,0,1,0,54,0,0.58,0.8,326
8111,20,20,1,0,0,0,0,1,0,54,0,0.734,0.734,303
8256,27,27,1,0,0,15,0,1,1,54,0,0.6647,0.6647,315
8429,20,20,1,0,0,0,0,1,0,54,0,0.58,0.75,304
8552,20,20,1,0,0,0,0,1,0,54,0,0.593,0.77,309
8611,28,28,1,0,0,0,0,2,0,54,0,0.5777,0.82,297
9497,20,20,1,0,0,0,0,2,0,54,0,0.58,0.7,157
9959,20,28,1,0,8,0,0,1,0,54,0,0.55,0.71,302
10703,52,52,1,0,0,0,0,1,0,54,0,0.55,0.55,300
10756,20,20,1,0,0,0,0,2,0,54,0,0.658,0.658,323
11200,20,20,1,0,0,0,0,1,0,54,0,0.654,0.96,317
12130,20,28,1,0,0,0,0,1,0,54,0,0.7,0.77,301
12914,20,27,1,0,0,0,0,1,0,54,0,0.7374,0.79,313
13071,20,28,1,0,0,0,0,1,0,54,0,0.63,0.78,302
13406,20,20,1,0,0,0,0,1,0,54,0,0.583,0.76,302
13409,20,28,1,12,0,12,1,1,2,54,0,0.78,0.78,323
1256,13,52,1,0,0,0,0,1,0,53,0,0.57,0.76,308
2617,20,20,1,0,41,0,0,1,0,53,0,0.56,0.56,304
3241,28,28,1,0,0,0,0,1,0,53,0,0.863,0.94,308
3294,39,52,1,0,0,0,0,1,0,53,0,0.0685,0.1,312
