userName Labels,Major Labels,Department Labels,program labels,researchExp,industryExp,internExp,journalPubs,Term Label,confPubs,University Labels,admit,normalized_cgpa,normalized_topper_cgpa,greTotal
128.0,,,1.0,,,,0.0,,,,,,,301.0
,,28.0,,,,0.0,,,,,0.0,0.891,,314.0
423.0,,,,,0.0,,,,,,0.0,,0.7,
,,,,0.0,,,,,,54.0,0.0,,0.7665,
890.0,,,,,,,,,,,0.0,,,
,,52.0,,,,,,,,,0.0,0.68,,295.0
,,,,,,,,,,54.0,0.0,0.6573,,
,,,,,,,,,,54.0,0.0,,,
1974.0,,20.0,,,,,,,,,,,,295.0
2157.0,,,,,,,,,,54.0,0.0,,0.913,328.0
2201.0,,,,,,,,,,,,,,299.0
2954.0,,,,,,,0.0,1.0,,54.0,0.0,0.0818,0.0818,
3089.0,,,,,,,,1.0,,54.0,,,,293.0
3393.0,,,1.0,,,,,,,54.0,0.0,0.597,,
3493.0,27.0,,1.0,,,,0.0,,,,,,,
3611.0,,,,,0.0,,,,0.0,54.0,,0.72,0.84,315.0
,,,,,0.0,,,,,54.0,,,0.916,317.0
4116.0,28.0,,,0.0,,,,,,,,0.6882,0.86,
4436.0,,,,,,,,,,54.0,,,,316.0
,,,,,,,,1.0,,,0.0,0.56,,
4651.0,20.0,,,,,,0.0,,,54.0,,,,
,,,,,0.0,,,,,,,,0.72,
,,,,,,,,,,54.0,0.0,,0.7,307.0
,,,,,,,,,0.0,,,,0.95,
5870.0,,,,,,,,,,54.0,0.0,,0.79,
,,,,,,,,,,,0.0,0.65,,304.0
,,20.0,,,,,0.0,,,,,,0.73,
,,,,,,,0.0,,,54.0,0.0,,,
,,,,0.0,,0.0,,,,,,0.66,,
7681.0,28.0,28.0,,,,,,,,,0.0,0.6345,0.75,307.0
7739.0,,,,,,,0.0,,,54.0,,0.5885,,310.0
8090.0,,,1.0,,,,,,,54.0,,,,326.0
8111.0,,20.0,,,,,,,,54.0,0.0,0.734,,303.0
,,,,,0.0,,,,,,0.0,0.6647,0.6647,315.0
8429.0,,,,,,,,,,,,0.58,0.75,
,,,,,,,,,0.0,54.0,,0.593,,
,,,,,,,,,,,,0.5777,0.82,
,,,,,,,,,,54.0,,,,157.0
,,28.0,,,,,,,,54.0,0.0,0.55,0.71,302.0
,,,,0.0,0.0,,,,,54.0,0.0,0.55,,300.0
,,,,,,,,,,,,0.658,0.658,323.0
11200.0,,,,,,,,,,,0.0,,,317.0
12130.0,20.0,28.0,,0.0,,,,,,54.0,0.0,,0.77,
,,,1.0,,,,,1.0,,54.0,,0.7374,,313.0
13071.0,20.0,,,0.0,,,,,,54.0,,,,302.0
,20.0,,,,,,0.0,,,54.0,,,,
,,,,12.0,,,,1.0,,,,0.78,,323.0
1256.0,,,,,,,,1.0,,,0.0,,0.76,
2617.0,,,,,,,,,,53.0,,0.56,0.56,
,,,1.0,,,,,,,,0.0,0.863,,308.0
3294.0,,,,,,,,,,,,0.0685,0.1,
,,52.0,,,,,,3.0,,53.0,,,0.5235,
,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,0.56,0.75,
6310.0,,,,,,,,,0.0,,,0.72,,
,,,,0.0,,,,,,53.0,,,0.75,
,,,,,,,,,,53.0,0.0,0.739,,
,,,,,,,,,,53.0,0.0,,,
,,52.0,,,0.0,,,,,,0.0,0.6,,304.0
,,,,,,0.0,,,,,,,0.69,290.0
9043.0,,,,,,,,,,53.0,0.0,0.583,,310.0
9953.0,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,,0.546,
10284.0,,,,0.0,,,,,,53.0,,0.714,,
10501.0,,,,,,,,,,,0.0,0.65,0.74,
10639.0,,15.0,,,,,,,,53.0,0.0,0.65,,
,,,,,,,,,,,,,,
,28.0,,,,,14.0,,,,,0.0,0.5846,0.5846,
,,52.0,,,,,,,,,,,,
,,61.0,,0.0,24.0,,,,,,0.0,,0.575,313.0
,45.0,,,,,,,,,53.0,,,0.8,
12.0,,,,,,,2.0,,,,0.0,0.91,,
,,,,,,,,1.0,,52.0,0.0,,,325.0
,,,1.0,,,,,,,,,0.8619,,
,,,,,,,,1.0,,,,,,313.0
,,,,,,,,,,,0.0,,,
,,,1.0,,,,,,,52.0,,0.847,0.89,
,,,,,,,,,,52.0,,,0.944,310.0
,,,,,,,,,,52.0,0.0,0.712,0.84,
,,,,,,0.0,,,,,,,,
,,,,,,0.0,,,,,,,,312.0
,,,,,,,,,,,0.0,,0.93,
171.0,28.0,,,0.0,,,,,,,0.0,,0.82,
,,,,,,,,,,,,,,
240.0,27.0,,,,,,,,,52.0,,,,
,20.0,,,,,,,,,52.0,,0.7088,,331.0
254.0,,20.0,1.0,,,,0.0,,0.0,,,0.66,,313.0
,,,,,,,,,,,0.0,,0.968,
311.0,,,1.0,,,,0.0,1.0,,,0.0,,0.9,
,,,,,,,,,,,,0.65,,
320.0,,,1.0,,,,,1.0,,,0.0,,,315.0
,,,,,,,,,0.0,,,,,
,,,,,,,,1.0,,,,0.85,,311.0
348.0,,,,,0.0,,,,,,0.0,,,
,,,,,,,,,,52.0,,,,
,,,,,,,,,,52.0,,,0.945,
,,,1.0,,,,,,,,,,,
387.0,,,,,,,,,0.0,52.0,0.0,,1.0,315.0
,,,,,0.0,,,,,52.0,,,,
,,52.0,,,,,,1.0,,,,,0.78,
436.0,,,,0.0,,,,,,,,0.826,,320.0
,,,,,0.0,,,,,,,0.885,,
,,,,,,,,,,52.0,0.0,,,
,,,,,,0.0,,,,52.0,,0.76,,
520.0,,,,,,,,,,,0.0,,,329.0
,,27.0,,,,,,,,52.0,0.0,,,
536.0,,,,,,,,,,52.0,0.0,0.7,0.78,
,,,,,,,,,,52.0,,0.804,,326.0
567.0,,,1.0,,0.0,,,,,,0.0,,0.81,319.0
,,,,,,,,,,,,0.741,,
,,,,,,,,,,,,0.78,,326.0
,,,,,,,,,,52.0,,0.76,,326.0
693.0,,,,,,,,,,,,0.794,0.794,
,,20.0,,,,,,,,,,0.955,,322.0
742.0,,,,,,,0.0,,,,0.0,,0.988,
762.0,,20.0,1.0,,,,,,,52.0,,,0.93,323.0
,,,,,,,,,0.0,52.0,,0.764,,
804.0,,,3.0,,,,,,,,,0.726,,
,,20.0,,,,,,,,52.0,0.0,0.754,,
,,20.0,1.0,,,,,,,,,0.72,0.72,
,,,,,,,,,,,0.0,,,327.0
,,,,0.0,,,0.0,,,52.0,0.0,0.67,0.67,327.0
,,,,0.0,0.0,,,,,,,,0.86,305.0
,,,,,,,,,,,,,,
948.0,,,,,,,,,,,,,0.84,
,,,,0.0,,,,,,,,0.925,,316.0
,,,,,,0.0,0.0,,,,,0.84,0.94,317.0
982.0,,,,,,,,,,,,0.714,,319.0
983.0,,,,,,0.0,,1.0,,52.0,0.0,0.929,0.988,309.0
1009.0,,,,,,,,,,52.0,,,,
1013.0,,20.0,,,,,,,,,0.0,0.7012,,307.0
,,,,0.0,,,,,,52.0,,,,320.0
,,,,0.0,,,,,,,0.0,,,
,,,,,,,,,0.0,,0.0,,0.96,
,,,,,0.0,,,,,52.0,,,,324.0
,,,,,,,,,,,,,,322.0
,,,,,0.0,,,,,52.0,0.0,0.87,,
1230.0,,27.0,,,,0.0,,1.0,,52.0,,,,326.0
1241.0,,,,,,,0.0,,,,0.0,,,312.0
,,,,,0.0,,,,,,0.0,,0.803,
,,28.0,,,,,,,,52.0,0.0,,,326.0
1331.0,,20.0,,,,,,,,,,,,
,,,,,,,,,,52.0,,,,
1349.0,,,,,,,,,,,0.0,,0.85,
,,,,,,,,,,,,,,
1322.0,,,,,,,,,,52.0,,,1.0,
,,,,,,,0.0,,,,0.0,,,329.0
,,20.0,,,,,,,,,,,0.96,
1386.0,20.0,,,,,,,1.0,0.0,,0.0,,,314.0
,,,,,,,0.0,,,52.0,0.0,,,322.0
,,,,,,,,,,,0.0,,,329.0
,28.0,28.0,,,,,,,,52.0,,,,
1571.0,,,,,,,,,,,0.0,0.851,,325.0
,,,,,,,,,,,0.0,0.72,0.95,326.0
1632.0,28.0,,,,,,,,,,,0.843,,
,,,,,,,,,,,0.0,0.905,,321.0
,,,,,,,,,,52.0,,,0.9,
,20.0,,,,,,,,,52.0,,,0.75,325.0
,,,,,,,,,,52.0,0.0,,,319.0
,,,,,,,0.0,,,52.0,,0.741,0.741,
1730.0,,,,,,,,,,,,0.81,,
1732.0,,,,,,,,,,52.0,,0.844,0.93,314.0
,52.0,,,,,,,,,52.0,,0.76,,
,,,,,,,,,,52.0,,,,
1754.0,,27.0,,,,,,,,52.0,,,,316.0
,,,,,,,,,,52.0,,,,314.0
,20.0,,,,,,,,,,,0.785,0.785,
,,,,,,0.0,,,,,,,0.86,
,,,,0.0,,,,,,,,0.755,,324.0
1883.0,,,,0.0,,,,,,52.0,,0.786,,329.0
1894.0,,,,,,,,,,,0.0,,0.75,
,,,,,,,,,0.0,52.0,,,,318.0
1914.0,,,,0.0,,,,,,52.0,,,,321.0
,,,,,,2.0,,,,52.0,,,0.704,
1999.0,,,,,,,,,,,,,,
,,,1.0,,,,,,0.0,,0.0,,,326.0
,28.0,,,,0.0,,,,,,0.0,0.84,0.92,
,,,,,,,,,,,0.0,,0.085,312.0
2138.0,,,,,,,,1.0,,52.0,0.0,,0.78,
,,,,0.0,,,,,,52.0,0.0,,,
2194.0,,,,,,,,1.0,,52.0,,,0.93,
,,,,,,,,,0.0,,,0.6,,308.0
,,,,,,,,,,52.0,,,,320.0
,,,,,,,,,,,0.0,0.867,0.913,
,,,,,,,,1.0,,,0.0,,,
,,,,,,1.0,,,,52.0,0.0,,0.872,
2342.0,,,,,,,,,,,0.0,,,325.0
,,,,,,,,,,52.0,,,0.89,
,,,1.0,0.0,,,,,,,,,,
,,,,,,,,,0.0,,0.0,,,329.0
,20.0,,,,,0.0,,1.0,,52.0,,,0.94,
2433.0,,,,,0.0,,,,,,,,,321.0
2468.0,,52.0,,,,,,1.0,,52.0,,,0.756,
,,,,,,,,,0.0,52.0,,0.727,,315.0
,,,,0.0,,,,1.0,,52.0,,,,329.0
,,,,,,,,,,,0.0,,0.72,319.0
,,,,,,,,,,,0.0,,,
,,,,,,0.0,,,,,,,0.98,
,,,,,,,0.0,,0.0,52.0,,0.8,1.0,334.0
,,,,,,,,,,,,,,318.0
,,,,,,,,,,,,,,313.0
2685.0,20.0,,,,,,0.0,,,52.0,0.0,,,317.0
,27.0,27.0,,,,,0.0,,,,,,0.8,
2718.0,,27.0,,,,,,,,,0.0,,0.8,
,,,,,,,,,,,,,0.85,319.0
2733.0,28.0,,1.0,,,,0.0,1.0,0.0,,,0.91,,
,,27.0,,,,,,,,52.0,,,0.8,
,,,,0.0,,,,,,,,,,
,,,,0.0,,,,,,52.0,0.0,,0.72,
2872.0,,,,,,,,,,52.0,,0.856,,324.0
,20.0,,,,,0.0,0.0,,,,0.0,,,
,,,,0.0,,,,,,,,0.784,,322.0
3020.0,,,,,,,,,,,0.0,0.66,,
,,,,0.0,,,,,,,,,,
3103.0,,20.0,,,,,,,,52.0,,,,
3112.0,,,,0.0,,0.0,,,,,,0.979,,331.0
,,20.0,,,,,,,,,0.0,0.76,0.9,
,,,,,,,,,,,0.0,0.7642,,
,,,,,,,,,,,0.0,,0.95,315.0
,,,,2.0,,,,,2.0,,,,0.765,321.0
,,28.0,,,,,,1.0,,52.0,,,,
,,,,,,,,,,,0.0,0.6982,,
,,,,,,,,,,,0.0,0.72,,
,,,,,,,0.0,,0.0,,,0.763,0.91,315.0
3384.0,,,,,,,,1.0,,,,0.906,,
3438.0,,,,,,,,,,52.0,0.0,,,
,,52.0,,,,,0.0,,,,0.0,0.6315,,314.0
,,,,,,,,,,52.0,0.0,0.74,,337.0
3512.0,,,,,,,,,0.0,,0.0,,0.844,319.0
,,,,,,0.0,,,,,0.0,,,313.0
,,,,,,,,,,,0.0,0.86,,
3562.0,,,,,,,,,,,0.0,,,
,,,,0.0,,,,,,,0.0,,0.947,
,,,,,,,,,,,,0.78,,320.0
,20.0,,,,0.0,,,,,52.0,,0.743,,
3617.0,,,,,,,,,,52.0,0.0,0.7037,,320.0
,,,,,,,,,,,0.0,,,
,,,,,,0.0,,,,52.0,0.0,,,324.0
,,,,,,,,,,,,0.7893,,330.0
,,20.0,,,,,,,,,,,0.85,315.0
3677.0,,,,,,,,1.0,,52.0,,0.916,,
,,,1.0,,,,0.0,,,52.0,,,0.97,
,,,,,,,,,,,,0.84,,319.0
,52.0,,,,,,,,,,0.0,,0.98,322.0
,,,,,,,,,,,,,0.94,315.0
,,,,0.0,,,,,,52.0,0.0,,0.8,
3764.0,15.0,15.0,,,,,,,,,,,,334.0
3778.0,,,,,,,,1.0,,,,1.02,,331.0
,18.0,,,,,,,,,,,0.751,,
